"TeamName","TeamId","Description","Privacy","Archived","MemberCount","OwnerCount","GuestCount","ChannelCount","LastActivity","RecordingPolicy","RecordingCompliance","RiskLevel","AlertLevel","Governance","Recommendations","CreatedDate","WebUrl","AnalysisTimestamp"
"プロジェクト管理チーム","e93b8c11-30c5-4123-8c18-6d7629ed7c00","プロジェクトの進行管理と情報共有","Public","False","9","0","2","3","6ヶ月以上前","許可","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください; 長期間非アクティブ - 利用状況を確認してください; ゲスト存在時のレコーディング設定を確認してください","2024/07/08","https://teams.microsoft.com/l/team/3cb7da29-e18f-4943-9625-6f686d8f7c60","06/12/2025 22:03:49"
"開発チーム","6f17beb0-bf11-4032-927e-be74b1b285d8","システム開発とコードレビュー","Private","False","24","0","2","6","6ヶ月以上前","許可","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください; 長期間非アクティブ - 利用状況を確認してください; ゲスト存在時のレコーディング設定を確認してください","2025/02/21","https://teams.microsoft.com/l/team/d603b9c0-f814-48e4-9fd2-5cf983d2772e","06/12/2025 22:03:49"
"営業部","2fa8a8d6-5754-48f5-8e59-1aa091a90b4b","営業活動と顧客情報共有","Private","False","49","0","4","2","6ヶ月以上前","制限","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください; 長期間非アクティブ - 利用状況を確認してください","2024/08/10","https://teams.microsoft.com/l/team/8716c343-770a-4747-a734-f00072ead07d","06/12/2025 22:03:49"
"マーケティング部","814bec19-57dd-44e6-82e3-b41a86198005","マーケティング戦略と施策実行","Public","False","26","0","3","9","1-3ヶ月前","許可","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください; ゲスト存在時のレコーディング設定を確認してください","2024/07/21","https://teams.microsoft.com/l/team/16b24eaa-111c-473a-8d70-5099486e0d94","06/12/2025 22:03:49"
"人事部","f2ec0b0d-28ac-45b8-bea0-8d4a072c6be8","人事制度と採用活動","Private","False","10","2","0","5","6ヶ月以上前","禁止","確認済","注意","Info","良好","長期間非アクティブ - 利用状況を確認してください","2024/10/10","https://teams.microsoft.com/l/team/a20eb722-7b79-4df6-9ac7-2c235c9b27d4","06/12/2025 22:03:49"
"経理部","3e2b05b2-6721-452a-ad53-a3a08546aa75","経理処理と予算管理","Private","False","24","0","2","8","3-6ヶ月前","禁止","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください","2025/03/22","https://teams.microsoft.com/l/team/77cc7fc9-33e0-4a0e-9df0-ca18bfaf0c78","06/12/2025 22:03:49"
"IT運用チーム","c55a9554-6627-4c02-8b30-55cce83e1f30","ITインフラ運用と監視","Public","False","15","2","4","4","3-6ヶ月前","禁止","確認済","注意","Info","良好","外部ゲスト存在 - アクセス権限を定期確認してください","2025/03/20","https://teams.microsoft.com/l/team/3388941a-6149-4666-8319-8707da78ac65","06/12/2025 22:03:49"
"カスタマーサポート","197605bf-ccc3-4105-a548-9e4db03f0e76","顧客対応とサポート業務","Private","False","5","0","1","4","6ヶ月以上前","許可","確認済","緊急","Critical","要改善","オーナーが存在しません - 管理者を指定してください; 外部ゲスト存在 - アクセス権限を定期確認してください; 長期間非アクティブ - 利用状況を確認してください; ゲスト存在時のレコーディング設定を確認してください","2024/09/28","https://teams.microsoft.com/l/team/b885cbd0-5fcf-48c7-a268-7065d4e44249","06/12/2025 22:03:49"
"品質管理部","37878d61-a6cc-4d45-962e-e43d4653ffd6","品質向上活動","Private","False","32","2","3","9","6ヶ月以上前","禁止","確認済","注意","Info","良好","外部ゲスト存在 - アクセス権限を定期確認してください; 長期間非アクティブ - 利用状況を確認してください","2024/12/28","https://teams.microsoft.com/l/team/570d58f6-0bb1-4d98-9851-6abffa3c71fc","06/12/2025 22:03:49"
"戦略企画室","428c710b-2a9d-4ed3-9d0d-eabdf27904cd","経営戦略立案","Public","True","32","2","1","9","1-3ヶ月前","制限","確認済","情報","Info","アーカイブ済","外部ゲスト存在 - アクセス権限を定期確認してください; アーカイブ済チーム","2024/12/24","https://teams.microsoft.com/l/team/c78d2ebb-a784-47ec-a7b4-7f3a4a72940c","06/12/2025 22:03:49"
