"Month","MonthName","LicenseCount","MonthlyCost","UtilizationRate","AlertLevel","TrendDirection","AnalysisTimestamp"
"2024-07","2024年07月","446","1266640","96.3","Critical","Baseline","06/13/2025 17:31:58"
"2024-08","2024年08月","366","1039440","79","Warning","Decreasing","06/13/2025 17:31:59"
"2024-09","2024年09月","397","1127480","85.7","Critical","Increasing","06/13/2025 17:31:59"
"2024-10","2024年10月","430","1221200","92.9","Critical","Increasing","06/13/2025 17:31:59"
"2024-11","2024年11月","438","1243920","94.6","Critical","Increasing","06/13/2025 17:31:59"
"2024-12","2024年12月","362","1028080","78.2","Warning","Decreasing","06/13/2025 17:31:59"
"2025-01","2025年01月","418","1187120","90.3","Critical","Increasing","06/13/2025 17:31:59"
"2025-02","2025年02月","399","1133160","86.2","Critical","Decreasing","06/13/2025 17:31:59"
"2025-03","2025年03月","424","1204160","91.6","Critical","Increasing","06/13/2025 17:31:59"
"2025-04","2025年04月","402","1141680","86.8","Critical","Decreasing","06/13/2025 17:31:59"
"2025-05","2025年05月","353","1002520","76.2","Warning","Decreasing","06/13/2025 17:31:59"
"2025-06","2025年06月","420","1192800","90.7","Critical","Increasing","06/13/2025 17:31:59"
